Name,Level,Access to,County,Activity Regions,Counselor Email,Dashboard Link,roger Email,Permission Email,Notes
Fox Valley Lutheran High School,High School,Full Service,OUTAGAMIE,"Brown, Calumet, Outagamie, Winnebago",,https://www.formstack.com/admin/submission/report/38607593?share=AiZBsUBPZF,"cpavelski@cesa6.org, rward@cesa6.org",,
Franklin Public School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878073?share=lxvX1Cnywk
Freedom High School ,High School,Full Service,OUTAGAMIE,"Brown, Calumet, Outagamie, Winnebago",,https://www.formstack.com/admin/submission/report/36999462?share=egWgQbke7y,"cpavelski@cesa6.org, rward@cesa6.org",,
George D. Warriner High School,High School,Full Service,SHEBOYGAN,Sheboygan,jmaramonte@warrinerschools.org,https://www.formstack.com/admin/submission/report/30332818?share=y3vXqAMgHH,mmotiska@rogersheboygancounty.org,,
George D. Warriner Middle School - Sheboygan,Middle School,Full Service,SHEBOYGAN,Sheboygan,jmaramonte@warrinerschools.org,https://www.formstack.com/admin/submission/report/30332818?share=y3vXqAMgHH,mmotiska@rogersheboygancounty.org,,
Germantown School District,"High School, Middle School",M7-Educator,Washington M7,Washington M7,,Washington M7,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878074?share=ab7Mo01289
Glendale-River Hills School District,Middle School,M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878086?share=gFLMpBurPU
Grafton School District,"High School, Middle School",M7-Educator,Ozaukee M7,Ozaukee M7,,Ozaukee M7,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878087?share=paEnpT2zrB
Greendale School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878088?share=pY6B8YS4WT
Greenfield School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878089?share=AZeJzHKXaz
Greenville Middle School - Hortonville,Middle School,Virtual,OUTAGAMIE,,,https://www.formstack.com/admin/submission/report/30333073?share=bCPsWtxu1i,"cpavelski@cesa6.org, rward@cesa6.org",,
Gresham High School,High School,Virtual,,,laginas@gresham.k12.wi.us,https://www.formstack.com/admin/submission/report/36334181?share=n87nRBpaqa,"bholbrook@cesa9.org, vbrooks@cesa9.org",,
Hamilton School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,Waukesha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878090?share=CTmPk0WLyC
Hartford UHS School District,"High School, Middle School",M7-Educator,Washington M7,Washington M7,,Washington M7,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878091?share=NwSZFoQya9
Hartland-Lakeside J3 School District,Middle School,M7-Educator,Waukesha,Waukesha,,Waukesha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878092?share=9HBm0WpFGS
Hilbert High School,High School,Full Service,CALUMET,"Brown, Calumet, Outagamie, Winnebago",,https://www.formstack.com/admin/submission/report/30333108?share=ZhXpe5siMW,"cpavelski@cesa6.org, rward@cesa6.org",,
Hilbert Middle School,Middle School,Virtual,CALUMET,"Brown, Calumet, Outagamie, Winnebago",,https://www.formstack.com/admin/submission/report/30333108?share=ZhXpe5siMW,"cpavelski@cesa6.org, rward@cesa6.org",,
Horace Mann Middle School - Sheboygan,Middle School,Full Service,SHEBOYGAN,Sheboygan,"cthoele@sasd.net, rzenk@sasd.net",https://www.formstack.com/admin/submission/report/30333013?share=8h7e6cMOa0,mmotiska@rogersheboygancounty.org,,
Horace Mann Middle School - Wausau,Middle School,Full Service ,MARATHON,"Langlade, Lincoln, Marathon, Oneida, Shawano","jrauscher@wausauschools.org,jwinter@wausauschools.org ",https://www.formstack.com/admin/submission/report/36334233?share=iZcKqfE7fC,"bholbrook@cesa9.org, vbrooks@cesa9.org",,
Horicon High School,High School,Full Service,Dodge,"Columbia, Dodge, Fond duLac, Green Lake, Washington, Winnebago",kdezeeuw@horicon.k12.wi.us,https://www.formstack.com/admin/submission/report/36999773?share=RWNDTo67p3,"rdroesslermersch@cesa6.org, rward@cesa6.org",,
Hortonville High School,High School,Full Service,OUTAGAMIE,"Brown, Calumet, Outagamie, Winnebago",,https://www.formstack.com/admin/submission/report/30333073?share=bCPsWtxu1i,"cpavelski@cesa6.org, rward@cesa6.org",,
Hortonville Middle School,Middle School,Virtual,OUTAGAMIE,,,https://www.formstack.com/admin/submission/report/30333073?share=bCPsWtxu1i,"cpavelski@cesa6.org, rward@cesa6.org",,
Howards Grove High School,High School,Full Service,SHEBOYGAN,"Sheboygan, Manitowoc",kneave@hgsd.k12.wi.us,https://www.formstack.com/admin/submission/report/30333232?share=wAXo5uO1MY,mmotiska@rogersheboygancounty.org,,
Howards Grove Middle School,Middle School,Full Service,SHEBOYGAN,"Sheboygan, Manitowoc",jluecke@hgsd.k12.wi.us,https://www.formstack.com/admin/submission/report/30333232?share=wAXo5uO1MY,mmotiska@rogersheboygancounty.org,,
Iola-Scandinavia High School,High School,Full Service,WAUPACA,"Waupaca,Outagamie,Marathon,Shawano,Portage",,https://www.formstack.com/admin/submission/report/38165845?share=DlxUPA7Zr5,roger@waupacaareachamber.com ,,
Iola-Scandinavia Middle School,Middle School,Full Service,WAUPACA,"Waupaca,Outagamie,Marathon,Shawano,Portage",,https://www.formstack.com/admin/submission/report/38165845?share=DlxUPA7Zr5,roger@waupacaareachamber.com ,,
James Williams Middle School - Rhinelander,Middle School,Full Service,ONEIDA,"Langlade, Lincoln, Marathon, Oneida",allenale@rhinelander.k12.wi.us,https://www.formstack.com/admin/submission/report/30333244?share=sXVIS7YHun,"bholbrook@cesa9.org, vbrooks@cesa9.org",,
John Muir Middle School - Wausau,Middle School,Full Service ,MARATHON,"Langlade, Lincoln, Marathon, Oneida, Shawano","jrauscher@wausauschools.org,jwinter@wausauschools.org ",https://www.formstack.com/admin/submission/report/36334233?share=iZcKqfE7fC,"bholbrook@cesa9.org, vbrooks@cesa9.org",,
Kaukauna High School,High School,Full Service,OUTAGAMIE,"Brown, Calumet, Outagamie, Winnebago",fischerw@kaukaunasd.org,https://www.formstack.com/admin/submission/report/30333278?share=4WCd3VHbVH,"cpavelski@cesa6.org, rward@cesa6.org",,
Kenosha School District,"High School, Middle School",M7-Educator,Kenosha,Kenosha,,Kenosha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878093?share=bWaAiHDQjj
Kettle Moraine School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,Waukesha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878099?share=rl9obus6EF
Kewaskum School District,"High School, Middle School",M7-Educator,Washington M7,Washington M7,,Washington M7,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878100?share=vFFPyYPBzE
Kiel High School,High School,Full Service,SHEBOYGAN,"Calumet, Manitowoc, Sheboygan","haprill@kiel.k12.wi.us, cvajgrt@kiel.k12.wi.us",https://www.formstack.com/admin/submission/report/30333335?share=teJocwFUXg,mmotiska@rogersheboygancounty.org,,
Kiel Middle School,Middle School,Full Service,SHEBOYGAN,"Calumet, Manitowoc, Sheboygan",mkautzer@kiel.k12.wi.us,https://www.formstack.com/admin/submission/report/30333335?share=teJocwFUXg,mmotiska@rogersheboygancounty.org,,
Kohler High School,High School,Full Service,SHEBOYGAN,Sheboygan,nachreinerc@kohler.k12.wi.us ,https://www.formstack.com/admin/submission/report/30333336?share=qldEN6bb0F,mmotiska@rogersheboygancounty.org,,
Kohler Middle School,Middle School,Full Service,SHEBOYGAN,Sheboygan,oconnorm@kohler.k12.wi.us ,https://www.formstack.com/admin/submission/report/30333336?share=qldEN6bb0F,mmotiska@rogersheboygancounty.org,,
L.B. Clarke Middle School - Two Rivers,Middle School,Virtual,MANITOWOC,,,https://www.formstack.com/admin/submission/report/30333338?share=Tu71tjF1e1,mstolp@cesa6.org,,
Lake Country Academy,Middle School,Full Service,SHEBOYGAN,Sheboygan,,,mmotiska@rogersheboygancounty.org,,
Lake Country School District,Middle School,M7-Educator,Waukesha,Waukesha,,Waukesha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878101?share=lSA9HCMiDC
Lake Geneva Genoa City UHS school,"High School, Middle School",M7-Educator,Walworth,Walworth,,Walworth,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878102?share=4kNwUo8qW5
Lakeland University,College/Post-Secondary,Full Service,SHEBOYGAN,"Sheboygan, Manitowoc, Calumet, Ozaukee",,https://www.formstack.com/admin/submission/report/30333361?share=7n8N32MVbC,mmotiska@rogersheboygancounty.org,,
Lincoln High School - Manitowoc,High School,Full Service,MANITOWOC,"Brown, Calumet, Dodge, Fond duLac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",schooltowork@mpsd.school,https://www.formstack.com/admin/submission/report/30333362?share=SEjunzjZF2,mstolp@cesa6.org,,
Little Chute Career Pathways Academy,High School,Full Service,OUTAGAMIE,"Brown, Calumet, Outagamie, Winnebago","lgretz@littlechute.k12.wi.us, mmokrzycki@littlechute.k12.wi.us",https://www.formstack.com/admin/submission/report/30333426?share=ImAPHhPawD,"cpavelski@cesa6.org, rward@cesa6.org",,
Little Chute Flex Academy,Middle School,Virtual,OUTAGAMIE,,,https://www.formstack.com/admin/submission/report/30333426?share=ImAPHhPawD,"cpavelski@cesa6.org, rward@cesa6.org",,
Little Chute High School,High School,Full Service,OUTAGAMIE,"Brown, Calumet, Outagamie, Winnebago","lgretz@littlechute.k12.wi.us, mmokrzycki@littlechute.k12.wi.us",https://www.formstack.com/admin/submission/report/30333426?share=ImAPHhPawD,"cpavelski@cesa6.org, rward@cesa6.org",,
Little Chute Middle School,Middle School,Virtual,OUTAGAMIE,,,https://www.formstack.com/admin/submission/report/30333426?share=ImAPHhPawD,"cpavelski@cesa6.org, rward@cesa6.org",,
Little Wolf High School,High School,Full Service,WAUPACA,"Waupaca, Shawano, Outagamie, Portage","mjohnson@manawaschools.org, scordes@manawaschools.org",https://www.formstack.com/admin/submission/report/40353382?share=3FZlOION2x,roger@waupacaareachamber.com ,,
Lomira High School,High School,Full Service,DODGE,"Brown, Calumet, Columbia, Dodge, Fond duLac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago","dweibye@lomira.k12.wi.us, thanke@lomira.k12.wi.us, slehman@lomira.k12.wi.us",https://www.formstack.com/admin/submission/report/30363304?share=ftXfknFZAv,"rdroesslermersch@cesa6.org, rward@cesa6.org",,
Lomira Middle School,Middle School,Virtual,DODGE,,"stschimperle@lomira.k12.wi.us, slehman@lomira.k12.wi.us",https://www.formstack.com/admin/submission/report/30363304?share=ftXfknFZAv,"rdroesslermersch@cesa6.org, rward@cesa6.org",,
LTC,College/Post-Secondary,Full Service,SHEBOYGAN,"Sheboygan, Manitowoc, Calumet, Ozaukee",,https://www.formstack.com/admin/submission/report/30333427?share=futGFnXELK,mmotiska@rogersheboygancounty.org,,
Manawa Middle School,Middle School,Full Service,WAUPACA,"Waupaca, Shawano, Outagamie, Portage",mjohnson@manawaschools.org,https://www.formstack.com/admin/submission/report/40353382?share=3FZlOION2x,roger@waupacaareachamber.com ,,
Maple Dale-Indian Hill School District,Middle School,M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878114?share=I0HjGjd4vo
Maplewood Middle School - Menasha,Middle School,Virtual,WINNEBAGO,,,https://www.formstack.com/admin/submission/report/30333440?share=jfWp7Q1vyU,"rward@cesa6.org, cpavelski@cesa6.org",,
Mayville High School,High School,Full Service,Dodge,"Columbia, Dodge, Fond duLac, Green Lake, Washington, Winnebago",gloomans@mayville.k12.wi.us,https://www.formstack.com/admin/submission/report/36999916?share=4I28l3Nuz7,"rdroesslermersch@cesa6.org, rward@cesa6.org",,
McKinley Academy - Manitowoc,High School,Full Service,MANITOWOC,"Brown, Calumet, Dodge, Fond duLac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",hollya@mpsd.school,https://www.formstack.com/admin/submission/report/36686921?share=gYWw3Qa3jF,mstolp@cesa6.org,,
Menasha High School,High School,Full Service,WINNEBAGO,"Brown, Calumet, Outagamie, Winnebago",,https://www.formstack.com/admin/submission/report/30333440?share=jfWp7Q1vyU,"rward@cesa6.org, cpavelski@cesa6.org",,
Menomonee Falls School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,Waukesha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878126?share=j7bHAIVUfM
Mequon Thiensville School District,"High School, Middle School",M7-Educator,Ozaukee M7,Ozaukee M7,,Ozaukee M7,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878127?share=hyvAXSksQD
Merton Community School District,Middle School,M7-Educator,Waukesha,Waukesha,,Waukesha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878150?share=i5fLywrFqs
Milwaukee Academy of Science,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878151?share=ni8bw2QKDR
Milwaukee Collegiate Academy,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878153?share=AiZig6Ov59
Milwaukee School District,"High School, Middle School",M7-Educator,MPS,"MPS, Milwaukee",,MPS,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878187?share=DwdtpKTx9c
Mukwonago School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,Waukesha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878188?share=HzuYikedA3
Muskego Norway School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,Waukesha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878189?share=5Yheee3ubs
Neenah High School,High School,Full Service,Winnebago,"Brown, Calumet, Fond duLac, Outagamie, Winnebago","natalie.shea@neenah.k12.wi.us, kpopp@neenah.k12.wi.us",https://www.formstack.com/admin/submission/report/44021084?share=b2VDvtu5ww,"rward@cesa6.org, cpavelski@cesa6.org","natalie.shea@neenah.k12.wi.us, kpopp@neenah.k12.wi.us",
New Berlin School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,Waukesha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878201?share=VTCc7hsCs8
New Holstein High School,High School,Full Service,CALUMET,"Brown, Calumet, Outagamie, Winnebago","oschad@nhsd.k12.wi.us, bzoelle@nhsd.k12.wi.us ",https://www.formstack.com/admin/submission/report/30333465?share=53o0NRon1Q,"cpavelski@cesa6.org, rward@cesa6.org",,
New Holstein Middle School,Middle School,Virtual,CALUMET,"Brown, Calumet, Outagamie, Winnebago",,https://www.formstack.com/admin/submission/report/30333465?share=53o0NRon1Q,"cpavelski@cesa6.org, rward@cesa6.org",,
New London High School,High School,Full Service,WAUPACA,"Waupaca,Outagamie,Winnebago","byerkey@newlondon.k12.wi.us,rschussl@newlondon.k12.wi.us,bmarquar@newlondon.k12.wi.us,cflander@newlondon.k12.wi.us,emarcus@newlondon.k12.wi.us,kkaepernick@newlondon.k12.wi.us ",https://www.formstack.com/admin/submission/report/37749186?share=uQfVANDoNR,roger@waupacaareachamber.com ,,
New London Middle School,Middle School,Full Service,WAUPACA,"Waupaca,Outagamie,Winnebago","apinch@newlondon.k12.wi.us,treynoso@newlondon.k12.wi.us,wberglund@newlondon.k12.wi.us,mdickrel@newlondon.k12.wi.us",https://www.formstack.com/admin/submission/report/37749186?share=uQfVANDoNR,roger@waupacaareachamber.com ,,
Nicolet UHS School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878213?share=5PvSWbYCpr
Norris School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,Waukesha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878214?share=7x4Swz7X0n
North Fond du Lac (Exploration High School),High School,Full Service,Fond duLac,"Brown, Calumet, Dodge, Fond duLac, Manitowoc, Outagamie, Sheboygan, Washington, Winnebago",aseidel@nfdlschools.org,https://www.formstack.com/admin/submission/report/45909384?share=c4KvfVlL38,"rdroesslermersch@cesa6.org, rward@cesa6.org",,
North Fond du Lac (Horace Mann),High School,Full Service,Fond duLac,"Brown, Calumet, Columbia, Dodge, Fond duLac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago", jgoebel@nfdlschools.org; jstahl@nfdlschools.org,https://www.formstack.com/admin/submission/report/36999917?share=WLnMpABHtz,"rdroesslermersch@cesa6.org, rward@cesa6.org",,
